path,label,video_id,split,frame_start,frame_end,bbox
assets/sign_to_text/wlasl_top100_words/drink/69302.mp4,Drink,69302,val,1,-1,"[551, 68, 1350, 1080]"
assets/sign_to_text/wlasl_top100_words/drink/65539.mp4,Drink,65539,train,1,-1,"[153, 11, 488, 370]"
assets/sign_to_text/wlasl_top100_words/drink/17710.mp4,Drink,17710,train,1,-1,"[196, 15, 521, 414]"
assets/sign_to_text/wlasl_top100_words/drink/17733.mp4,Drink,17733,train,1,-1,"[186, 63, 551, 400]"
assets/sign_to_text/wlasl_top100_words/drink/65540.mp4,Drink,65540,train,1,-1,"[167, 19, 480, 370]"
assets/sign_to_text/wlasl_top100_words/drink/17734.mp4,Drink,17734,val,1,-1,"[183, 55, 552, 400]"
assets/sign_to_text/wlasl_top100_words/drink/17711.mp4,Drink,17711,train,1,-1,"[289, 9, 783, 480]"
assets/sign_to_text/wlasl_top100_words/drink/17712.mp4,Drink,17712,train,1,-1,"[673, 90, 1571, 1072]"
assets/sign_to_text/wlasl_top100_words/drink/17713.mp4,Drink,17713,test,1,-1,"[28, 0, 542, 480]"
assets/sign_to_text/wlasl_top100_words/drink/17709.mp4,Drink,17709,train,1,-1,"[41, 9, 257, 240]"
assets/sign_to_text/wlasl_top100_words/drink/17720.mp4,Drink,17720,train,1,-1,"[49, 3, 220, 192]"
assets/sign_to_text/wlasl_top100_words/drink/17721.mp4,Drink,17721,train,1,-1,"[66, 19, 209, 192]"
assets/sign_to_text/wlasl_top100_words/drink/17722.mp4,Drink,17722,train,1,-1,"[66, 19, 209, 192]"
assets/sign_to_text/wlasl_top100_words/drink/17723.mp4,Drink,17723,train,1,-1,"[65, 20, 208, 192]"
assets/sign_to_text/wlasl_top100_words/drink/17724.mp4,Drink,17724,val,1,-1,"[68, 18, 220, 192]"
assets/sign_to_text/wlasl_top100_words/computer/12328.mp4,Computer,12328,train,1,-1,"[56, 11, 240, 192]"
assets/sign_to_text/wlasl_top100_words/computer/12312.mp4,Computer,12312,val,1,-1,"[422, 50, 824, 720]"
assets/sign_to_text/wlasl_top100_words/computer/12311.mp4,Computer,12311,train,1,-1,"[27, 0, 313, 240]"
assets/sign_to_text/wlasl_top100_words/computer/12338.mp4,Computer,12338,train,1,-1,"[221, 42, 501, 400]"
assets/sign_to_text/wlasl_top100_words/computer/12313.mp4,Computer,12313,train,1,-1,"[409, 51, 833, 720]"
assets/sign_to_text/wlasl_top100_words/computer/12314.mp4,Computer,12314,train,1,-1,"[257, 38, 1684, 1080]"
assets/sign_to_text/wlasl_top100_words/computer/12315.mp4,Computer,12315,val,1,-1,"[436, 35, 1765, 1080]"
assets/sign_to_text/wlasl_top100_words/computer/12316.mp4,Computer,12316,train,1,-1,"[412, 18, 1698, 1080]"
assets/sign_to_text/wlasl_top100_words/computer/12317.mp4,Computer,12317,train,1,-1,"[473, 44, 1708, 1080]"
assets/sign_to_text/wlasl_top100_words/computer/12318.mp4,Computer,12318,train,1,-1,"[365, 45, 1673, 1080]"
assets/sign_to_text/wlasl_top100_words/computer/12319.mp4,Computer,12319,train,1,-1,"[494, 99, 1414, 1077]"
assets/sign_to_text/wlasl_top100_words/computer/12320.mp4,Computer,12320,test,1,-1,"[74, 19, 565, 480]"
assets/sign_to_text/wlasl_top100_words/computer/12326.mp4,Computer,12326,val,1,-1,"[69, 9, 214, 192]"
assets/sign_to_text/wlasl_top100_words/computer/12327.mp4,Computer,12327,train,1,-1,"[63, 0, 218, 192]"
assets/sign_to_text/wlasl_top100_words/before/05728.mp4,Before,05728,train,1,-1,"[624, 70, 1587, 1070]"
assets/sign_to_text/wlasl_top100_words/before/05749.mp4,Before,05749,train,1,-1,"[167, 52, 512, 400]"
assets/sign_to_text/wlasl_top100_words/before/05750.mp4,Before,05750,val,1,-1,"[171, 52, 513, 400]"
assets/sign_to_text/wlasl_top100_words/before/05729.mp4,Before,05729,train,1,-1,"[300, 12, 1202, 1080]"
assets/sign_to_text/wlasl_top100_words/before/05730.mp4,Before,05730,train,1,-1,"[712, 64, 1652, 1080]"
assets/sign_to_text/wlasl_top100_words/before/65167.mp4,Before,65167,train,1,-1,"[190, 0, 504, 370]"
assets/sign_to_text/wlasl_top100_words/before/05731.mp4,Before,05731,train,1,-1,"[570, 98, 1535, 1080]"
assets/sign_to_text/wlasl_top100_words/before/05732.mp4,Before,05732,train,1,-1,"[103, 25, 528, 480]"
assets/sign_to_text/wlasl_top100_words/before/05733.mp4,Before,05733,train,1,-1,"[95, 23, 533, 480]"
assets/sign_to_text/wlasl_top100_words/before/05734.mp4,Before,05734,train,1,-1,"[129, 0, 555, 480]"
assets/sign_to_text/wlasl_top100_words/before/05727.mp4,Before,05727,test,1,-1,"[386, 45, 810, 720]"
assets/sign_to_text/wlasl_top100_words/before/05739.mp4,Before,05739,test,1,-1,"[74, 23, 209, 192]"
assets/sign_to_text/wlasl_top100_words/before/05740.mp4,Before,05740,train,1,-1,"[90, 22, 203, 192]"
assets/sign_to_text/wlasl_top100_words/before/05741.mp4,Before,05741,test,1,-1,"[65, 9, 219, 192]"
assets/sign_to_text/wlasl_top100_words/before/05742.mp4,Before,05742,train,1,-1,"[67, 14, 216, 192]"
