path,label,video_id,split,frame_start,frame_end,bbox
assets/sign_to_text/wlasl_top500_words/drink/69302.mp4,Drink,69302,val,1,-1,"[551, 68, 1350, 1080]"
assets/sign_to_text/wlasl_top500_words/drink/65539.mp4,Drink,65539,train,1,-1,"[153, 11, 488, 370]"
assets/sign_to_text/wlasl_top500_words/drink/17710.mp4,Drink,17710,train,1,-1,"[196, 15, 521, 414]"
assets/sign_to_text/wlasl_top500_words/drink/17733.mp4,Drink,17733,train,1,-1,"[186, 63, 551, 400]"
assets/sign_to_text/wlasl_top500_words/computer/12328.mp4,Computer,12328,train,1,-1,"[56, 11, 240, 192]"
assets/sign_to_text/wlasl_top500_words/computer/12312.mp4,Computer,12312,val,1,-1,"[422, 50, 824, 720]"
assets/sign_to_text/wlasl_top500_words/computer/12311.mp4,Computer,12311,train,1,-1,"[27, 0, 313, 240]"
assets/sign_to_text/wlasl_top500_words/computer/12338.mp4,Computer,12338,train,1,-1,"[221, 42, 501, 400]"
assets/sign_to_text/wlasl_top500_words/before/05728.mp4,Before,05728,train,1,-1,"[624, 70, 1587, 1070]"
assets/sign_to_text/wlasl_top500_words/before/05749.mp4,Before,05749,train,1,-1,"[167, 52, 512, 400]"
assets/sign_to_text/wlasl_top500_words/before/05750.mp4,Before,05750,val,1,-1,"[171, 52, 513, 400]"
assets/sign_to_text/wlasl_top500_words/before/05729.mp4,Before,05729,train,1,-1,"[300, 12, 1202, 1080]"
assets/sign_to_text/wlasl_top500_words/chair/09848.mp4,Chair,09848,train,1,-1,"[40, 6, 266, 240]"
assets/sign_to_text/wlasl_top500_words/chair/09869.mp4,Chair,09869,train,1,-1,"[183, 55, 560, 400]"
assets/sign_to_text/wlasl_top500_words/chair/09849.mp4,Chair,09849,train,1,-1,"[388, 56, 806, 720]"
assets/sign_to_text/wlasl_top500_words/chair/09850.mp4,Chair,09850,train,1,-1,"[667, 144, 1472, 1061]"
assets/sign_to_text/wlasl_top500_words/go/69345.mp4,Go,69345,val,1,-1,"[268, 38, 898, 720]"
assets/sign_to_text/wlasl_top500_words/go/24955.mp4,Go,24955,train,1,-1,"[79, 22, 201, 192]"
assets/sign_to_text/wlasl_top500_words/go/24956.mp4,Go,24956,train,1,-1,"[81, 22, 199, 192]"
assets/sign_to_text/wlasl_top500_words/go/24941.mp4,Go,24941,train,1,-1,"[187, 18, 526, 414]"
assets/sign_to_text/wlasl_top500_words/who/69534.mp4,Who,69534,train,1,-1,"[381, 45, 868, 720]"
assets/sign_to_text/wlasl_top500_words/who/63242.mp4,Who,63242,train,1,-1,"[188, 55, 546, 400]"
assets/sign_to_text/wlasl_top500_words/who/63226.mp4,Who,63226,test,1,-1,"[235, 15, 526, 414]"
